a+,ah_ai_ac_ad_af_
luminous,lustrous_vivid_brilliant_radiant_incandescent_
lush,abundant_dense_sensuous_sumptuous_opulent_
luster,brightness_brilliance_shimmer_sparkle_glitter_
lustrous,waxy_glistening_shimmering_radiant_dazzling_
luxuriant,sumptuous_lush_opulent_abundant_ample_
luxuriate,enjoy_wallow_wanton_love_rollick_
luxurious,ostentatious_stately_posh_sumptuous_palatial_
luxuriously,largely_well_sumptuously_affluently_wealthily_
luxury,richness_enjoyment_comfort_leisure_extravagance_
lyrical,melodic_rhythmic_passionate_rhapsodic_soulful_
magic,fascination_illusion_necromancy_foreboding_augury_
magical,enchanted_unusual_magic_mythical_fascinating_
magnanimous,unstinting_unselfish_altruistic_charitable_selfless_
magnanimously,extremely_greatly_honorably_sincerely_advantageously_
magnificence,greatness_splendor_elegance_richness_sumptuousness_
magnificent,striking_imposing_lavish_grandiose_stately_
magnificently,splendidly_wonderfully_beautifully_excellently_gorgeously_
majestic,august_awesome_ceremonious_cool_courtly_
majesty,greatness_illustriousness_nobility_stateliness_
manageable,convenient_feasible_workable_docile_easy_
maneuverable,mensurable_inferable_maneuver_more inferable_invariable_
marvel,genius_miracle_phenomenon_sensation_prodigy_
marveled,stare_gape_goggle_gaze_wonder_
marvelled,stare_gape_goggle_gaze_wonder_
marvellous,alien_ethereal_extraterrestrial_ghostly_heavenly_
marvelous,fantastic_remarkable_awesome_breathtaking_awful_
marvelously,unusually_magically_wondrously_
marvelousness,marvelous_mercilessness_fearlessness_savorlessness_mellifluousness_
marvels,genius_miracle_phenomenon_sensation_prodigy_
master,skillful_adept_skilled_experienced_crackerjack_
masterful,first-rate_deft_skillful_adroit_excellent_
masterfully,splendidly_magnificently_fine_incomparably_marvelously_
masterpiece,monument_treasure_jewel_gem_classic_
masterpieces,monument_treasure_jewel_gem_classic_
masters,administrator_guru_ruler_boss_director_
mastery,dexterity_prowess_knowledge_familiarity_understanding_
matchless,alone_consummate_excellent_exquisite_incomparable_
mature,matured_sophisticated_grown_prime_complete_
maturely,mature_matured_matures_maturity_mutely_
maturity,ability_experience_sophistication_capability_manhood_
meaningful,relevant_useful_worthwhile_valid_purposeful_
memorable,great_impressive_remarkable_famous_catchy_
merciful,humanitarian_kindly_compassionate_charitable_lenient_
mercifully,forcefully_mirthfully_peacefully_mournfully_most fully_
mercy,pity_benevolence_generosity_forgiveness_blessing_
merit,dignity_talent_integrity_value_benefit_
meritorious,exemplary_praiseworthy_admirable_boss_choice_
merrily,happily_gaily_cheerfully_gleefully_genially_
merriment,revelry_hilarity_indulgence_revel_joviality_
merriness,radiance_color_brilliance_jocundity_gladness_
merry,pleasant_winsome_enjoyable_mad_joyous_
mesmerize,hypnotize_fascinate_enthrall_stupefy_control_
mesmerized,hypnotize_fascinate_enthrall_stupefy_control_
mesmerizes,hypnotize_fascinate_enthrall_stupefy_control_
mesmerizing,hypnotize_fascinate_enthrall_stupefy_control_
mesmerizingly,mesmerizings_
meticulous,precise_cautious_scrupulous_accurate_fastidious_
meticulously,exactly_precisely_scrupulously_flawlessly_veraciously_
mightily,intensely_greatly_mighty_decidedly_exceedingly_
mighty,robust_potent_boss_doughty_hardy_
mind-blowing,astonishing_mind-boggling_overwhelming_psychedelic_staggering_
miracle,phenomenon_revelation_rarity_surprise_wonder_
miracles,phenomenon_revelation_rarity_surprise_wonder_
miraculous,unbelievable_monstrous_spectacular_incredible_strange_
miraculously,extraordinarily_beautifully_remarkably_marvelously_magnificently_
miraculousness,miraculous_recklessness_more calescent_
modern,state-of-the-art_contemporary_current_stylish_present-day_
modest,prudent_simple_humble_quiet_unassuming_
modesty,simplicity_reticence_propriety_purity_decency_
momentous,notable_crucial_far-reaching_historic_fateful_
monumental,huge_enormous_fantastic_enduring_towering_
monumentally,monumentalize_monuments_momently_monument_monumented_
morality,righteousness_morals_probity_philosophy_justice_
motivated,prompt_inspire_propel_sway_excite_

navigable,passable_accessible_open_safe_travelable_
neat,precise_accurate_tidy_slick_sleek_
neatest,precise_accurate_tidy_slick_sleek_
neatly,cleanly_nicely_accurately_precisely_handily_
nice,cordial_kind_good_okay_fair_
nicely,happily_beautifully_perfectly_pleasantly_agreeably_
nicer,cordial_kind_good_okay_fair_
nicest,cordial_kind_good_okay_fair_
nifty,terrific_dandy_excellent_neat_stylish_
nimble,deft_skillful_agile_adroit_adept_
noble,patrician_imperial_gentle_kingly_highborn_
nobly,splendidly_magnificently_magnanimously_regally_
noiseless,inaudible_mute_silent_soundless_speechless_
non-violence,passiveness_nonagression_pacification_pacifism_peaceableness_
non-violent,passive_pacifist_peaceable_quiet_resistant_
notably,particularly_very_markedly_greatly_remarkably_
noteworthy,unusual_remarkable_noticeable_exceptional_outstanding_
nourish,cultivate_tend_sustain_cherish_foster_
nourishing,wholesome_beneficial_healthy_nutrient_nutritious_
nourishment,nutrition_sustenance_feed_pap_victuals_
novelty,uniqueness_innovation_freshness_oddity_crazy_
nurturing,sustenance_development_subsistence_
oasis,fountain_well_wellspring_watering hole_
obsession,phobia_fascination_delusion_mania_passion_
obsessions,phobia_fascination_delusion_mania_passion_
obtainable,attainable_at hand_derivable_duck soup_on tap_
openly,willingly_plainly_publicly_candidly_fully_
openness,responsiveness_impartiality_observance_acceptance_understanding_
optimal,excellent_ace_best_capital_choice_
optimism,confidence_anticipation_certainty_expectation_elation_
optimistic,utopian_assured_bright_buoyant_cheerful_
opulent,ostentatious_swank_sumptuous_palatial_lavish_
orderly,precise_scientific_businesslike_tidy_thorough_
originality,individuality_boldness_daring_ingenuity_freshness_
outdo,transcend_outstrip_outsmart_eclipse_excel_
outdone,beaten_defeated_bettered_improved upon_
outperform,exceed_outrun_surpass_better_top_
outperformed,exceed_outrun_surpass_better_top_
outperforming,exceed_outrun_surpass_better_top_
outperforms,exceed_outrun_surpass_better_top_
outshine,outperform_transcend_beat_exceed_excel_
outshone,outperform_transcend_beat_exceed_excel_
outsmart,outmaneuver_baffle_outfox_deceive_outdo_
outstanding,superior_great_dominant_impressive_exceptional_
outstandingly,remarkably_extremely_highly_exceedingly_greatly_
outstrip,transcend_exceed_overtake_outdo_win_
outwit,deceive_outfox_outmaneuver_cheat_gull_
ovation,acclamation_acclaim_applause_testimonial_salvo_
overjoyed,elated_delighted_jubilant_charmed_transported_
overtake,beat_overwhelm_befall_outstrip_outdo_
overtaken,beat_overwhelm_befall_outstrip_outdo_
overtakes,beat_overwhelm_befall_outstrip_outdo_
overtaking,beat_overwhelm_befall_outstrip_outdo_
overtook,beat_overwhelm_befall_outstrip_outdo_
overture,signal_proposition_suggestion_invitation_proposal_
pain-free,panfry_pine tree_going free_fan fire_pianoforte_
painless,accessible_straightforward_simple_clear_smooth_
painlessly,pitilessly_powerlessly_penniless_perilously_
palatial,stately_sumptuous_magnificent_luxurious_imposing_
pamper,gratify_tickle_regale_spoil_indulge_
pampered,gratify_tickle_regale_spoil_indulge_
pamperedly,temperately_
pamperedness,pamperings_pampered_temperateness_
pampers,gratify_tickle_regale_spoil_indulge_
panoramic,scenic_all-around_all-inclusive_blanket_broad_
paradise,utopia_heaven_bliss_Eden_delight_
paramount,predominant_preeminent_outstanding_capital_cardinal_
pardon,reprieve_mercy_remission_clemency_amnesty_
passion,temper_sentiment_rage_zeal_joy_
passionate,ardent_wistful_romantic_loving_amorous_
passionately,lovingly_excitedly_intensely_dearly_devotedly_
patience,perseverance_grit_composure_diligence_restraint_
patient,gentle_forgiving_tolerant_calm_quiet_
patiently,calmly_bravely_quietly_meekly_dispassionately_
patriot,partisan_loyalist_volunteer_flag-waver_nationalist_
patriotic,loyal_dedicated_dutiful_faithful_fervid_
peace,reconciliation_accord_love_unity_truce_
peaceable,peaceful_amiable_amicable_calm_complacent_
peaceful,steady_smooth_quiet_neutral_harmonious_
peacefully,quietly_resting_composedly_tranquilly_
peacekeepers,negotiator_mediator_diplomat_arbitrator_pacifist_
peach,gratifying_satisfying_enjoyable_acceptable_delightful_
peerless,unequaled_unrivaled_aces_all-time_alone_
pep,verve_gusto_life_potency_get-up-and-go_
pepped,lace_color_pep_enliven_leaven_
pepping,lace_color_pep_enliven_leaven_
peppy,perky_sprightly_spirited_animated_active_
peps,verve_gusto_life_potency_get-up-and-go_
perfect,splendid_foolproof_superb_ideal_pure_
perfection,supremacy_evolution_virtue_integrity_accomplishment_
perfectly,fully_altogether_quite_completely_utterly_
permissible,acceptable_permitted_admissible_legitimate_lawful_
perseverance,spunk_moxie_grit_endurance_stamina_
persevere,proceed_pursue_endure_persist_remain_
personages,VIP_big shot_bigwig_brass_chief_
personalized,illustrate_incorporate_incarnate_show_typify_
phenomenal,sensational_fantastic_remarkable_outstanding_marvelous_
phenomenally,phenomenality_phenomena_phenomenology_
picturesque,beautiful_colorful_quaint_scenic_charming_
piety,zeal_religiosity_fervor_loyalty_reverence_
pinnacle,apex_culmination_peak_height_crown_
playful,whimsical_spirited_impish_frisky_joking_
playfully,willingly_freely_peacefully_lovingly_merrily_
pleasant,cordial_likable_sweet_cheerful_mild_
pleasantly,happily_cheerfully_charmingly_pleasingly_welcomely_
pleased,appreciative_contented_satisfied_happy_content_
pleases,satisfy_gratify_amuse_tickle_cheer_
pleasing,gratifying_satisfactory_satisfying_enjoyable_palatable_
pleasingly,appropriately_cheerfully_favorably_happily_kindly_
pleasurable,enjoyable_gratifying_entertaining_satisfying_pleasing_
pleasurably,willingly_warmly_cordially_freely_heartily_
pleasure,thrill_enjoyment_joy_comfort_gratification_
plentiful,generous_productive_fertile_prolific_ample_
pluses,assets_capital_cash flow_liquid assets_stock in trade_
plush,elegant_sumptuous_palatial_lush_opulent_
plusses,positive_surplus_additional_enlarged_increased_
poetic,dramatic_elegiac_epic_idyllic_imaginative_
poeticize,poetize_poetized_poetizing_potence_policies_
poignant,sentimental_pathetic_heartrending_sad_heartbreaking_
poise,confidence_equanimity_self-assurance_tact_elegance_
poised,hover_wait_brood_stabilize_hang_
polished,gleaming_glistening_shiny_glossy_shining_
polite,cordial_civil_gentle_thoughtful_genteel_
politeness,civility_kindness_charm_culture_refinement_
popular,fashionable_favored_famous_attractive_beloved_
portable,compact_convenient_handy_lightweight_light_
posh,exclusive_swank_fashionable_classy_swanky_
positive,specific_confident_decisive_clear_conclusive_
positively,easily_certainly_emphatically_undoubtedly_firmly_
positives,picture_likeness_image_snapshot_print_
powerful,dominant_impressive_capable_influential_forceful_
powerfully,strongly_vigorously_forcefully_effectively_intensely_
praise,devotion_glory_acclaim_applause_plaudit_
praiseworthy,estimable_admirable_meritorious_honorable_commendable_
praising,admire_applaud_advocate_appreciate_laud_
pre-eminent,renowned_dominant_outstanding_peerless_transcendent_
precious,beloved_darling_dear_inestimable_loved_
precise,particular_actual_explicit_decisive_definite_
precisely,absolutely_literally_strictly_accurately_specifically_
preeminent,renowned_dominant_outstanding_peerless_transcendent_
prefer,adopt_suggest_pick_go for_wish_
preferable,superior_desirable_preferred_excellent_better_
preferably,rather_first_willingly_alternatively_by choice_
prefered,proffered_referred_preformed_revered_pilfered_
preferes,reveres_preforms_perseveres_preference_pre faces_
preferring,adopt_suggest_pick_go for_wish_
prefers,adopt_suggest_pick_go for_wish_
premier,prime_head_main_champion_opening_
prestige,status_dignity_weight_power_importance_
prestigious,renowned_impressive_famed_illustrious_respected_
prettily,beautifully_gently_politely_cutely_gorgeously_
pretty,beautiful_cute_charming_pleasant_elegant_
priceless,incalculable_valuable_rare_invaluable_expensive_
pride,dignity_self-respect_self-confidence_joy_satisfaction_
principled,noble_virtuous_conscientious_honest_moral_
privilege,right_exemption_license_advantage_freedom_
privileged,honored_powerful_ruling_special_advantaged_
prize,topnotch_outstanding_prime_champion_top_
proactive,aggressive_anxious_ardent_dedicated_eager_

problem-solver,problem solving_problem-solving_
prodigious,fantastic_tremendous_inordinate_immense_monumental_
prodigiously,chiefly_generally_mostly_widely_principally_
prodigy,genius_whiz_sensation_wizard_talent_
productive,profitable_beneficial_useful_effective_prolific_
productively,finally_forcefully_completely_definitely_energetically_
proficient,capable_experienced_talented_versed_efficient_
proficiently,strongly_closely_smoothly_nicely_fully_
profound,thorough_philosophical_deep_serious_subtle_
profoundly,very_extremely_completely_greatly_thoroughly_
profuse,abounding_ample_bountiful_copious_dime a dozen_
profusion,outpouring_glut_prosperity_wealth_plenitude_
progress,development_advance_evolution_stride_process_
progressive,revolutionary_continuous_radical_modern_dynamic_
prolific,rich_creative_abounding_abundant_bountiful_
prominence,eminence_height_protrusion_elevation_projection_
prominent,outstanding_bulging_extended_eye-catching_flashy_
promise,pact_word_pledge_commitment_agreement_
promised,guaranteed_assured_warranted_professed_insured_
promises,pact_word_pledge_commitment_agreement_
promising,talented_up-and-coming_gifted_encouraging_auspicious_
promoter,advocate_publicist_backer_sponsor_organizer_
prompt,timely_precise_rapid_efficient_punctual_
promptly,rapidly_swiftly_speedily_quickly_directly_
proper,good_useful_decent_fitting_appropriate_
properly,accordingly_perfectly_well_accurately_rightly_
propitious,auspicious_advantageous_opportune_beneficial_benign_
propitiously,gracefully_appropriately_favorably_fortunately_swimmingly_
pros,winner_star_champion_pro_wizard_
prosper,blossom_bloom_multiply_flourish_thrive_
prosperity,wealth_success_accomplishment_riches_expansion_
prosperous,booming_comfortable_well-to-do_well-heeled_well-off_
prospros,prospered_prosperously_prospering_prosperity_presuppose_
protect,preserve_safeguard_shield_shelter_defend_
protection,shelter_preservation_stability_conservation_safety_
protective,watchful_possessive_vigilant_warm_defensive_
proud,noble_great_honored_illustrious_satisfied_
proven,confirm_verify_explain_show_turn out_
proves,confirm_verify_explain_show_turn out_
providence,god_deity_divine superintendence_
proving,verifying_testing_confirmation_examining_justifying_
prowess,dexterity_talent_readiness_mastery_accomplishment_
prudence,frugality_diligence_tact_wisdom_foresight_
prudent,cautious_reasonable_frugal_shrewd_vigilant_
prudently,deliberately_intentionally_carefully_cautiously_consciously_
punctual,expeditious_dependable_accurate_careful_conscientious_
pure,real_perfect_natural_classic_simple_
purify,absolve_atone_wash_lustrate_fumigate_
purposeful,deliberate_resolute_calculated_persistent_strong-willed_
quaint,whimsical_funny_unusual_peculiar_fanciful_
qualified,experienced_talented_capable_efficient_knowledgeable_
qualify,enable_score_certify_train_entitle_
quicker,rapid_energetic_cursory_hasty_agile_
quiet,reticent_soft_silent_peaceful_reserved_
quieter,reticent_soft_silent_peaceful_reserved_
radiance,shine_effulgence_glare_light_brilliance_
radiant,lustrous_beaming_brilliant_sunny_resplendent_
rapid,breakneck_hasty_brisk_fast_accelerated_
rapport,empathy_sympathy_affinity_harmony_compatibility_
rapt,ecstatic_delighted_rapturous_spellbound_inattentive_
rapture,ecstasy_exaltation_euphoria_elation_exhilaration_
raptureous,rapture_rapturously_captures_
raptureously,rapturous_
rapturous,delightful_delighted_enchanted_happy_euphoric_
rapturously,willingly_warmly_cordially_freely_heartily_
rational,levelheaded_sensible_wise_normal_impartial_
razor-sharp,acute_strong_intense_penetrating_acid_
reachable,attainable_obtainable_possible_
readable,precise_comprehensible_lucid_coherent_straightforward_
readily,willingly_easily_freely_eagerly_promptly_
ready,accessible_qualified_apt_ripe_handy_
reaffirm,disclose_claim_stress_affirm_confirm_
reaffirmation,re formation_re-formation_affirmation_reanimation_re animation_
realistic,real_sensible_pragmatic_businesslike_down-to-earth_
realizable,obtainable_reachable_practicable_feasible_accessible_
reasonable,fair_cheap_plausible_proper_humane_
reasonably,intelligently_fairly_justly_rationally_honestly_
reasoned,speculate_infer_deduct_conclude_adduce_
reassurance,faith_confidence_optimism_backing_assistance_
reassure,bolster_relieve_console_inspire_cheer_
receptive,sympathetic_welcoming_sensitive_susceptible_open-minded_
reclaim,restore_convert_recover_salvage_rescue_
recomend,re commend_re-commend_reconned_recommends_regimened_
recommend,urge_uphold_confirm_propose_advocate_
recommendation,sanction_guidance_instruction_charge_proposition_
recommendations,sanction_guidance_instruction_charge_proposition_
recommended,suggested_supported_favored_selected_praised_
reconcile,conform_resolve_appease_coordinate_reunite_
reconciliation,rapprochement_accord_agreement_compromise_harmony_
record-setting,recasting_more jet setting_more jet-setting_re casting_re-casting_
recover,regain_restore_retrieve_rescue_resume_
recovery,return_improvement_resumption_readjustment_restoration_
rectification,modification_remedy_reform_change_revision_
rectify,amend_fix_remedy_redress_improve_
rectifying,amend_fix_remedy_redress_improve_
redeem,regain_restore_repay_recoup_reclaim_
redeeming,compensating_saving_extenuating_compensatory_qualifying_
redemption,atonement_restitution_reparation_reclamation_retrieval_
refine,clarify_process_rarefy_distill_filter_
refined,precise_polished_tasteful_cultivated_discriminating_
refinement,clarification_distillation_purification_cleaning_draining_
reform,restore_renovate_resolve_standardize_repair_
reformed,renewed_improved_revised_corrected_altered_
reforming,restore_renovate_resolve_standardize_repair_
reforms,restore_renovate_resolve_standardize_repair_
refresh,rejuvenate_reinvigorate_revive_replenish_exhilarate_
refreshed,rejuvenate_reinvigorate_revive_replenish_exhilarate_
refreshing,exhilarating_fresh_bracing_stimulating_invigorating_
refund,reimbursement_kickback_rebate_discount_compensation_
refunded,discharged_paid_reimbursed_repaid_acquitted_
regal,august_glorious_imposing_kingly_magnificent_
regally,wonderfully_majestically_sumptuously_
regard,view_stare_notice_observance_heed_
rejoice,revel_exult_enjoy_glory_joy_
rejoicing,elation_festivity_exultation_enjoyment_jubilance_
rejoicingly,rejoicing in_
rejuvenate,restore_regenerate_reinvigorate_refresh_renovate_
rejuvenated,restore_regenerate_reinvigorate_refresh_renovate_
rejuvenating,restore_regenerate_reinvigorate_refresh_renovate_
relaxed,composed_serene_informal_carefree_breezy_
relent,quit_slacken_acquiesce_relax_subside_
reliable,good_solid_positive_sincere_safe_
reliably,faithfully_truly_accurately_loyally_assuredly_
relief,reprieve_help_alleviation_assistance_comfort_
relish,gusto_zest_heart_love_liking_
remarkable,noteworthy_curious_wonderful_odd_singular_
remarkably,strangely_very_uncommonly_exceptionally_extraordinarily_
remedy,cure-all_fix_drug_quick fix_redress_
remission,reprieve_exemption_amnesty_forgiveness_absolution_
remunerate,vouchsafe_accord_indemnify_grant_reimburse_
renaissance,resurgence_renewal_rejuvenation_revival_revitalization_
renewed,revived_recovered_repaired_improved_restored_
renown,stardom_preeminence_glory_rep_kudos_
renowned,great_outstanding_illustrious_famed_notable_
replaceable,unimportant_superfluous_dispensable_excess_nonessential_
reputable,trustworthy_renowned_illustrious_eminent_well-known_
reputation,standing_prominence_name_character_influence_
resilient,supple_buoyant_strong_volatile_tough_
resolute,uncompromising_stubborn_unshakable_strong_bold_
resound,reverberate_vibrate_echo_sound_reproduce_
resounding,earsplitting_thrilling_ringing_forceful_thunderous_
resourceful,ingenious_inventive_talented_capable_intelligent_
resourcefulness,inventiveness_ingenuity_stratagem_talent_appliance_
respect,dignity_regard_awe_appreciation_esteem_
respectable,satisfactory_decent_appropriate_tolerable_upright_
respectful,reverent_reverential_civil_self-effacing_humble_
respectfully,politely_courteously_attentively_ceremoniously_considerately_
respite,reprieve_interruption_breathing space_layoff_letup_
resplendent,sublime_splendid_brilliant_magnificent_dazzling_
responsibly,responsively_irresponsibly_responsibility_irresponsible_
responsive,sympathetic_sensible_conscious_susceptible_receptive_
restful,tranquil_relaxed_serene_calm_comfortable_
restored,revived_renewed_returned_replaced_repaired_
restructure,reconstruct_revamp_reshuffle_reorient_
restructured,reconstruct_revamp_reshuffle_restructure_reorient_
restructuring,reconstitution_reestablishment_
retractable,retractile_re tractile_re-tractile_protractible_retract_
revel,festivity_carouse_saturnalia_bacchanal_gaiety_
revelation,announcement_news_leak_discovery_communication_
revere,enjoy_regard_appreciate_honor_admire_
reverence,admiration_veneration_piety_adoration_loyalty_
reverent,reverential_solemn_deferential_polite_appreciative_
reverently,warmly_passionately_respectfully_zealously_earnestly_
revitalize,restore_rejuvenate_enliven_reinvigorate_revive_
revival,resurgence_recovery_rejuvenation_renewal_renaissance_
revive,restore_renovate_rejuvenate_strengthen_energize_
revives,restore_renovate_rejuvenate_strengthen_energize_
revolutionary,subversive_radical_insurgent_rebel_defiant_
revolutionize,remodel_change_reform_refashion_recast_
revolutionized,remodel_change_reform_refashion_recast_
revolutionizes,remodel_change_reform_refashion_recast_
reward,accolade_premium_bonus_compensation_award_
rewarding,profitable_satisfying_worthwhile_advantageous_valuable_
rewardingly,re warding_re-warding_rewordings_re wording_re-wording_
rich,easy_prosperous_well-heeled_well-off_fat_
richer,easy_prosperous_well-heeled_well-off_fat_
richly,handsomely_lavishly_abundantly_amply_largely_
richness,abundance_lavishness_affluence_plenty_bounty_
right,good_legal_honest_appropriate_legitimate_
righten,tighten_right on_right-on_brighten_frighten_
righteous,noble_spiritual_virtuous_ethical_pure_
righteously,equally_honorably_rightly_rightfully_reasonably_
righteousness,goodness_respectability_rectitude_fairness_uprightness_
rightful,proper_deserved_lawful_applicable_appropriate_
rightfully,justly_legally_truly_duly_fairly_
rightly,justly_fairly_exactly_appropriately_accurately_
rightness,righteousness_goodness_honesty_mores_integrity_
risk-free,secure_healthy_certain_reliable_harmless_
robust,booming_vigorous_prosperous_sturdy_hefty_
rock-star,rock hard_rock-hard_rock city_lucky star_rock boat_
rock-stars,rockfests_rockest_rocketeers_backstairs_recasts_
rockstar,rocketer_rocks_rockhard_rocket_roster_
rockstars,rocketeers_backstairs_recasts_roasters_roosters_
romantic,exotic_whimsical_glamorous_amorous_fascinating_
romantically,romantic_romantic lead_roman collar_
romanticize,sentimentalize_idealize_glamorize_think romantically_
roomier,spacious_large_broad_ample_capacious_
roomy,spacious_large_broad_ample_capacious_
rosy,glowing_rose-colored_blooming_blushing_colored_
safe,protected_intact_secure_snug_okay_
safely,carefully_cautiously_harmlessly_guardedly_with safety_
sagacity,enlightenment_perspicacity_knowledge_acumen_sapience_
sagely,carefully_shrewdly_intelligently_knowingly_judiciously_
saint,martyr_angel_glorified soul_good person_holy being_
saintliness,sanctity_righteousness_purity_humility_devoutness_
saintly,angelic_upstanding_pious_beatific_blameless_
salutary,healthful_beneficial_fit_good_healing_
salute,congratulate_acknowledge_recognize_welcome_hail_
sane,levelheaded_sensible_wise_normal_healthy_
satisfactorily,sufficiently_adequately_competently_suitably_convincingly_
satisfactory,satisfying_fair_solid_decent_gratifying_
satisfied,fulfilled_convinced_contented_happy_paid_
satisfies,gratify_placate_elate_fascinate_flatter_
satisfy,gratify_placate_elate_fascinate_flatter_
satisfying,gratifying_satisfactory_refreshing_sweet_delightful_
satisified,satisfies_sissified_storified_citified_satisfa_
saver,collector_squirrel_accumulator_gatherer_hoarder_
savings,hoard_nest egg_accumulation_stake_provisions_
savior,liberator_hero_salvation_defender_protector_
savvy,knowing_acute_experienced_wise_calculating_
scenic,panoramic_breathtaking_dramatic_spectacular_grand_
seamless,smooth_logical_coherent_consistent_ordered_
seasoned,wise_skillful_knowledgeable_accomplished_qualified_
secure,protected_guarded_sheltered_defended_immune_
securely,tight_hard_firm_deeply_firmly_
selective,choosy_discriminatory_scrupulous_judicious_careful_
self-determination,autonomy_self-sufficiency_self-reliance_separation_home rule_
self-respect,dignity_pride_confidence_worth_vanity_
self-satisfaction,complacency_conceit_glow_peace of mind_smugness_
self-sufficiency,autonomy_self-reliance_independence_self-support_self-sustenance_
self-sufficient,efficient_competent_confident_self-supporting_arrogant_
sensation,emotion_impression_sensitivity_passion_sense_
sensational,breathtaking_thrilling_spectacular_remarkable_outstanding_
sensationally,splendidly_magnificently_fine_incomparably_marvelously_
sensations,emotion_impression_sensitivity_passion_sense_
sensible,wise_down-to-earth_shrewd_logical_practical_
sensibly,supposedly_officially_evidently_outwardly_superficially_
sensitive,tricky_precise_tense_keen_susceptible_
serene,composed_easygoing_peaceful_smooth_quiet_
serenity,composure_peace of mind_patience_stillness_calmness_
sexy,provocative_inviting_racy_sensuous_hot_
sharp,acute_pointed_stinging_keen_salient_
sharper,double-crosser_crook_fake_jockey_decoy_
sharpest,acute_pointed_stinging_keen_salient_
shimmering,glistening_bright_sparkling_glowing_glittering_
shimmeringly,charmingly_chimerical_chimeral_
shine,gleam_gloss_shimmer_sparkle_glitz_
shiny,polished_slick_sparkling_gleaming_glossy_
significant,powerful_symbolic_important_compelling_serious_
silent,mum_reticent_restrained_hushed_mute_
simpler,straightforward_plain_smooth_quiet_transparent_
simplest,straightforward_plain_smooth_quiet_transparent_
simplified,clear_reduced_interpreted_uncomplicated_abridged_
simplifies,facilitate_reduce_clarify_shorten_cut down_
simplify,facilitate_reduce_clarify_shorten_cut down_
simplifying,facilitate_reduce_clarify_shorten_cut down_
sincere,real_genuine_heartfelt_outspoken_trustworthy_
sincerely,naturally_truthfully_candidly_deeply_truly_
sincerity,truthfulness_earnestness_candor_goodwill_probity_
skill,dexterity_artistry_accomplishment_prowess_ingenuity_
skilled,adept_experienced_able_proficient_expert_
skillful,experienced_proficient_adroit_skilled_practical_
skillfully,softly_lightly_beautifully_gracefully_cautiously_
slammin,slimming_salmon_salaaming_slain_clamming_
sleek,polished_glistening_shiny_silky_glassy_
slick,sleek_icy_slippery_glossy_shiny_
smart,good_wise_bold_brilliant_agile_
smarter,good_wise_bold_brilliant_agile_
smartest,good_wise_bold_brilliant_agile_
smartly,vigorously_active_gaily_spirited_stylishly_
smile,smirk_laugh_grin_beam_simper_
smiles,smirk_laugh_grin_beam_simper_
smiling,smirk_laugh_grin_beam_simper_
smilingly,willingly_freely_peacefully_lovingly_merrily_
smitten,taken_affected_infatuated_afflicted_stricken_
smooth,polished_sleek_gentle_mild_effortless_
smoother,polished_sleek_gentle_mild_effortless_
smoothes,smoothens_smoothest_soothes_smoother_smooshes_
smoothest,polished_sleek_gentle_mild_effortless_
smoothly,evenly_fluently_placidly_sleekly_
snappy,cross_disagreeable_edgy_fractious_hasty_
snazzy,swank_classy_slick_dressy_flashy_
sociable,cordial_genial_approachable_neighborly_good-natured_
soft,silky_comfortable_elastic_pliable_smooth_
softer,silky_comfortable_elastic_pliable_smooth_
solace,pity_condolence_consolation_assuagement_relief_
solicitous,zealous_attentive_mindful_loving_anxious_
solicitously,warily_delicately_thoroughly_laboriously_gingerly_
solid,sturdy_tight_strong_substantial_stable_
solidarity,unanimity_support_agreement_consensus_unification_
soothe,mitigate_appease_assuage_relieve_soften_
soothingly,indifferently_delicately_moderately_quietly_lightly_
sophisticated,practical_refined_worldly_mature_knowing_
soulful,impassioned_touching_passionate_expressive_stirring_
soundly,tight_hard_firm_deeply_firmly_
soundness,correctness_solidity_integrity_solvency_durability_
spacious,cavernous_comfortable_vast_roomy_ample_
sparkle,radiance_twinkle_gleam_vitality_glint_
sparkling,shimmering_brilliant_bright_glowing_gleaming_
spectacular,sensational_breathtaking_wondrous_thrilling_splendid_
spectacularly,notably_especially_infamously_
speedily,instantaneously_quickly_hastily_abruptly_promptly_
speedy,rapid_prompt_hasty_brisk_immediate_
spellbind,beguile_mesmerize_slay_win_draw_
spellbinding,beguile_mesmerize_slay_win_draw_

spellbound,breathless_bemused_rapt_charmed_bewildered_
spirited,animated_vigorous_energetic_resolute_spunky_
spiritual,divine_metaphysical_sacred_intangible_holy_
splendid,beautiful_splashy_bright_impressive_elegant_
splendidly,handsomely_grandly_beautifully_wonderfully_remarkably_
splendor,pomp_majesty_richness_brilliance_magnificence_
spontaneous,unplanned_voluntary_offhand_simple_instinctive_
sporty,snazzy_brazen_flamboyant_flaunting_gaudy_
spotless,flawless_unblemished_gleaming_immaculate_blameless_
sprightly,cheerful_energetic_spry_zippy_agile_
stability,strength_support_cohesion_security_balance_
stabilize,preserve_secure_fix_steady_maintain_
stable,secure_solid_durable_safe_steady_
stainless,chaste_exemplary_immaculate_pure_spotless_
standout,attenuate_deficient_exceptional_extraordinary_few_
state-of-the-art,up-to-date_newfangled_modern_brand-new_new_
stately,solemn_imposing_palatial_magnificent_opulent_
statuesque,beautiful_graceful_grand_imposing_majestic_
